序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,年度股息率(%) 2025.12.31,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
75,000157,中联重科,SZ,8.20,-5.53,4.63,14.60,-0.480,8.69,8.06,3.81,4.37,2.70亿,22.18亿,3.65,1.2319,709.18亿,579.71亿,1000001930,False
76,603444,吉比特,SH,386.43,-1.76,4.62,15.52,-6.910,391.34,380.00,6.41,2.06,461.55万,17.75亿,3.88,5.0518,278.39亿,278.39亿,1000319586,False
77,600970,中材国际,SH,10.57,0.00,4.62,9.68,0.000,10.65,10.44,0.79,0.60,2068.26万,2.18亿,2.42,1.2072,277.13亿,277.13亿,1000001734,False
78,600757,长江传媒,SH,8.81,-2.97,4.62,10.55,-0.270,8.88,8.66,1.68,2.59,2042.72万,1.79亿,2.64,1.0681,106.92亿,106.91亿,1000001844,False
79,601518,吉林高速,SH,2.82,1.08,4.61,10.86,0.030,2.82,2.79,0.80,0.48,1516.47万,4256.44万,2.72,0.9330,53.31亿,53.31亿,1000008160,False
80,000538,云南白药,SZ,55.52,-0.36,4.58,19.22,-0.200,55.72,55.33,0.28,0.71,490.73万,2.72亿,4.81,2.4738,990.62亿,984.33亿,1000009000,False
81,600428,中远海特,SH,9.11,0.89,4.58,14.04,0.080,9.18,8.99,1.28,0.79,3139.02万,2.85亿,3.51,1.4825,249.97亿,222.77亿,1000000019,False
82,601801,皖新传媒,SH,6.13,0.33,4.56,14.98,0.020,6.14,6.09,0.45,0.54,886.09万,5419.30万,3.75,1.0155,120.02亿,120.02亿,1000008272,False
83,601811,新华文轩,SH,14.34,-0.76,4.55,11.28,-0.110,14.37,14.14,1.02,0.43,808.53万,1.15亿,2.82,1.1594,176.93亿,113.56亿,1000310072,False
84,601857,中国石油,SH,11.65,-0.94,4.51,13.55,-0.110,11.77,11.56,0.09,0.92,1.54亿,17.86亿,3.39,1.3443,2.13万亿,1.89万亿,1000004161,False
85,603326,我乐家居,SH,8.76,2.46,4.49,16.03,0.210,8.81,8.55,1.15,1.01,367.71万,3193.64万,4.01,2.3632,27.96亿,27.96亿,1000625541,False
86,601328,交通银行,SH,6.92,-0.14,4.48,6.39,-0.010,6.99,6.91,0.44,1.00,1.14亿,7.89亿,1.60,0.5351,6114.77亿,1804.21亿,1000002489,False
87,600012,皖通高速,SH,15.68,-0.13,4.45,14.27,-0.020,15.95,15.63,0.53,1.01,623.45万,9865.39万,3.57,2.0926,267.91亿,182.77亿,1000002281,False
88,600690,海尔智家,SH,21.06,0.05,4.43,10.10,0.010,21.28,21.03,0.74,1.05,4604.20万,9.72亿,2.53,1.6638,1974.93亿,1316.89亿,1000002439,False
89,603995,甬金股份,SH,18.22,0.50,4.42,12.14,0.090,18.36,18.02,1.13,0.55,412.64万,7500.97万,3.04,1.1461,66.62亿,66.62亿,1001423652,False
90,001299,美能能源,SZ,15.38,-7.85,4.42,36.41,-1.310,16.20,15.02,14.53,1.56,3173.41万,4.86亿,9.10,3.0755,37.32亿,33.59亿,1002053824,False
91,000828,东莞控股,SZ,10.07,0.00,4.41,12.71,0.000,10.09,10.03,0.37,0.67,388.63万,3910.51万,3.18,1.0277,104.68亿,104.68亿,1000009121,False
92,603889,新澳股份,SH,9.06,3.31,4.40,13.78,0.290,9.17,8.70,3.22,0.77,2333.67万,2.11亿,3.44,1.7879,66.15亿,65.66亿,1000304185,False
93,600817,宇通重工,SH,12.46,0.32,4.40,21.48,0.040,12.65,12.42,0.81,0.49,428.19万,5360.39万,5.37,2.5978,66.45亿,65.94亿,1000000181,False
94,603317,天味食品,SH,13.31,1.22,4.39,24.87,0.160,13.41,13.05,0.95,0.99,1007.58万,1.34亿,6.22,3.1201,141.71亿,141.71亿,1000313348,False
95,301109,军信股份,SZ,15.25,1.06,4.35,16.79,0.160,15.29,15.06,2.32,0.99,534.24万,8109.25万,4.20,1.5527,120.34亿,35.13亿,1002479170,False
96,002283,天润工业,SZ,11.15,7.21,4.33,34.54,0.750,11.25,10.27,5.26,1.25,5271.46万,5.72亿,8.64,2.0829,127.05亿,111.82亿,1000007928,False
97,601728,中国电信,SH,5.85,0.34,4.32,16.13,0.020,5.86,5.80,0.15,1.18,1.16亿,6.75亿,4.03,1.1616,5353.17亿,4541.34亿,1002622263,False
98,603689,皖天然气,SH,8.14,0.25,4.32,13.19,0.020,8.15,8.09,0.76,0.94,395.90万,3215.09万,3.30,1.1677,42.80亿,42.61亿,1000323782,False
99,002372,伟星新材,SZ,10.60,-1.58,4.31,22.78,-0.170,10.84,10.55,0.87,1.58,1284.43万,1.37亿,5.70,3.4544,168.76亿,155.91亿,1000007306,False
100,601916,浙商银行,SH,3.02,0.00,4.31,6.41,0.000,3.03,3.00,0.39,1.20,8307.06万,2.50亿,1.60,0.4663,829.43亿,650.64亿,1001194676,False
101,600350,山东高速,SH,10.17,0.69,4.31,15.34,0.070,10.19,10.06,0.10,0.64,485.14万,4915.41万,3.83,1.6396,491.68亿,491.68亿,1000002031,False
102,603886,元祖股份,SH,13.33,0.68,4.29,22.92,0.090,13.35,13.18,1.52,0.72,364.69万,4847.03万,5.73,2.0562,31.99亿,31.99亿,1000324657,False
103,603565,中谷物流,SH,11.87,2.33,4.28,11.66,0.270,11.90,11.62,0.82,1.27,1722.12万,2.03亿,4.42,2.5232,249.28亿,249.28亿,1001819984,False
104,002404,嘉欣丝绸,SZ,6.97,1.75,4.28,21.68,0.120,6.98,6.82,1.21,0.90,549.15万,3796.11万,5.42,1.9470,39.04亿,31.75亿,1000008358,False
105,002107,沃华医药,SZ,8.11,2.01,4.26,42.75,0.160,8.16,7.75,11.59,0.94,6624.14万,5.30亿,31.93,6.9228,46.81亿,46.34亿,1000006668,False
106,000338,潍柴动力,SZ,27.40,3.01,4.26,21.84,0.800,27.57,26.38,2.40,0.96,1.20亿,32.41亿,5.46,2.5616,2387.20亿,1370.96亿,1000010157,False
107,601963,重庆银行,SH,10.44,-1.42,4.25,6.69,-0.150,10.78,10.39,0.82,1.08,1667.59万,1.76亿,1.67,0.6719,378.53亿,212.35亿,1001423650,False
108,603167,渤海轮渡,SH,9.31,1.09,4.24,15.12,0.100,9.32,9.20,0.89,0.95,417.62万,3871.72万,4.02,1.2443,43.68亿,43.68亿,1000010307,False
109,601991,大唐发电,SH,3.87,-0.51,4.24,9.70,-0.020,3.89,3.84,0.73,0.72,9090.91万,3.51亿,2.42,2.1036,716.21亿,479.73亿,1000002436,False
110,600742,富维股份,SH,10.24,1.39,4.20,15.21,0.140,10.27,10.04,1.11,0.90,826.69万,8414.63万,4.85,0.8874,76.09亿,76.09亿,1000002147,False
111,688526,科前生物,SH,15.21,0.26,4.19,16.93,0.040,15.25,15.06,0.43,0.80,201.31万,3054.69万,4.23,1.6726,70.90亿,70.90亿,1001806126,False
112,600096,云天化,SH,33.81,2.58,4.19,11.95,0.850,34.15,32.90,2.86,1.29,5221.86万,17.56亿,2.99,2.5074,616.35亿,616.35亿,1000002279,False
113,601939,建设银行,SH,9.45,-0.11,4.19,7.29,-0.010,9.58,9.40,1.10,1.64,1.06亿,10.05亿,1.82,0.7138,2.47万亿,906.60亿,1000001073,False
114,300979,华利集团,SZ,43.25,0.58,4.18,15.74,0.250,43.52,42.62,0.16,0.80,182.53万,7860.63万,3.94,3.1081,504.73亿,504.72亿,1002298477,False
115,601033,永兴股份,SH,14.89,-0.13,4.16,15.57,-0.020,14.94,14.79,1.32,0.90,316.67万,4707.29万,3.89,1.2394,134.01亿,35.74亿,1003258442,False
116,000513,丽珠集团,SZ,34.31,-0.44,4.15,15.06,-0.150,34.50,34.16,0.74,0.73,417.95万,1.43亿,3.76,2.1935,304.64亿,194.93亿,1000004079,False
117,002393,力生制药,SZ,23.68,-0.29,4.15,14.65,-0.070,23.78,23.40,1.87,0.92,466.81万,1.10亿,3.66,1.3403,61.00亿,59.27亿,1000006684,False
118,601298,青岛港,SH,8.87,0.91,4.14,10.92,0.080,8.88,8.73,0.14,0.84,765.85万,6741.09万,2.73,1.2595,575.76亿,478.28亿,1001126655,False
119,001872,招商港口,SZ,21.59,-0.23,4.13,11.62,-0.050,21.69,21.30,0.10,0.79,226.48万,4864.71万,2.91,0.8325,535.84亿,497.00亿,1001711097,False
120,600211,西藏药业,SH,42.25,-0.17,4.13,14.52,-0.070,42.35,41.85,0.64,0.66,206.73万,8697.89万,3.63,3.5852,136.18亿,136.18亿,1000000543,False
121,601921,浙版传媒,SH,7.99,-0.13,4.09,13.81,-0.010,8.03,7.96,0.27,0.85,604.07万,4827.11万,3.45,1.2344,177.56亿,177.56亿,1002281154,False
122,600908,无锡银行,SH,5.67,-0.35,4.05,5.39,-0.020,5.72,5.66,0.49,0.75,970.56万,5514.61万,1.35,0.5545,124.44亿,113.36亿,1000327151,False
123,600377,宁沪高速,SH,11.79,0.94,4.05,12.93,0.110,11.83,11.65,0.22,1.19,828.79万,9749.95万,3.23,1.4332,593.95亿,448.28亿,1000000997,False
124,301087,可孚医疗,SZ,57.20,-1.11,4.03,32.15,-0.640,57.99,56.74,1.59,0.88,309.01万,1.77亿,8.04,2.5859,119.49亿,110.96亿,1002311837,False
125,002454,松芝股份,SZ,10.53,-0.38,4.02,26.75,-0.040,10.60,10.35,3.73,0.81,2340.02万,2.45亿,6.69,1.6516,66.19亿,66.02亿,1000006292,False
126,002948,青岛银行,SZ,5.25,0.77,4.02,5.89,0.040,5.27,5.20,1.27,1.02,3954.88万,2.07亿,1.47,0.7495,305.57亿,163.41亿,1000863715,False
127,601658,邮储银行,SH,5.07,-0.78,4.01,6.97,-0.040,5.14,5.05,0.17,1.01,1.24亿,6.33亿,1.74,0.6028,6088.82亿,3677.16亿,1001899021,False
128,301552,科力装备,SZ,42.28,0.67,4.00,25.93,0.280,42.95,41.83,7.18,0.46,170.95万,7232.44万,6.48,3.4000,40.25亿,10.06亿,1003097329,False
129,600008,首创环保,SH,3.05,0.00,4.00,12.64,0.000,3.06,3.03,0.76,0.69,5610.36万,1.71亿,3.16,1.0795,223.89亿,223.89亿,1000002212,False
130,002001,新 和 成,SZ,37.62,2.81,3.97,17.09,1.030,38.46,36.24,1.62,1.08,4921.17万,18.49亿,4.27,3.5245,1156.22亿,1142.47亿,1000010007,False
131,601988,中国银行,SH,5.79,0.00,3.95,7.68,0.000,5.87,5.76,0.09,0.93,1.89亿,10.97亿,1.92,0.6925,1.87万亿,1.22万亿,1000002490,False
132,601318,中国平安,SH,58.52,-0.31,3.95,7.86,-0.180,59.03,58.25,0.51,0.88,5443.68万,31.90亿,1.97,1.0592,1.06万亿,6238.27亿,1000002667,False
133,000708,中信特钢,SZ,16.84,1.51,3.95,14.34,0.250,16.86,16.54,0.16,0.69,812.12万,1.36亿,3.58,1.9721,849.94亿,849.94亿,1000002482,False
134,920022,世昌股份,BJ,26.56,-0.49,3.93,23.26,-0.130,26.85,26.35,2.11,1.08,35.07万,930.67万,5.82,3.7367,16.02亿,4.41亿,1003861500,False
135,601336,新华保险,SH,63.89,3.62,3.92,5.49,2.230,64.13,61.38,1.41,1.59,2943.50万,18.50亿,1.37,1.7868,1993.08亿,1332.39亿,1000002881,False
136,601398,工商银行,SH,7.46,-0.53,3.91,7.21,-0.040,7.54,7.43,0.08,1.01,2.28亿,17.02亿,1.80,0.6889,2.66万亿,2.01万亿,1000000973,False
137,000900,现代投资,SZ,4.11,0.00,3.91,15.42,0.000,4.13,4.08,0.59,0.89,893.41万,3664.07万,3.86,0.5656,62.38亿,62.38亿,1000000671,False
138,601186,中国铁建,SH,6.96,0.00,3.91,5.15,0.000,6.98,6.94,0.36,1.07,4126.78万,2.87亿,1.29,0.3447,945.14亿,800.63亿,1000007767,False
139,002060,广东建工,SZ,3.92,-3.21,3.89,13.27,-0.130,4.04,3.91,8.18,2.51,1.28亿,5.05亿,3.32,1.0211,147.17亿,61.26亿,1000004045,False
140,600585,海螺水泥,SH,22.25,-1.33,3.89,14.53,-0.300,22.55,22.07,1.29,2.31,5150.21万,11.46亿,3.63,0.6127,1179.09亿,889.93亿,1000000573,False
141,600060,海信视像,SH,23.08,0.04,3.87,12.27,0.010,23.25,22.89,0.67,0.71,874.05万,2.02亿,3.07,1.4167,301.19亿,300.08亿,1000002507,False
142,600938,中国海油,SH,36.96,0.19,3.85,14.39,0.070,37.19,36.45,1.73,0.86,5163.28万,19.00亿,3.60,2.1884,1.76万亿,1105.10亿,1002842127,False
143,002998,优彩资源,SZ,9.27,5.58,3.84,47.97,0.490,9.33,8.75,6.00,0.84,1622.58万,1.47亿,25.68,1.8717,32.89亿,25.07亿,1001855448,False
144,600600,青岛啤酒,SH,62.06,0.10,3.84,18.45,0.060,62.25,61.83,0.57,0.92,402.42万,2.50亿,4.61,2.7623,846.62亿,440.08亿,1000000792,False
145,600710,苏美达,SH,12.99,-0.46,3.84,12.52,-0.060,13.09,12.82,0.93,0.64,1218.44万,1.58亿,3.13,1.9936,169.75亿,169.75亿,1000001830,False
146,605338,巴比食品,SH,25.80,-0.58,3.83,22.64,-0.150,26.20,25.50,1.48,1.23,354.12万,9176.63万,5.66,2.6442,61.81亿,61.81亿,1001893710,False
147,600968,海油发展,SH,4.30,-0.23,3.83,11.25,-0.010,4.31,4.27,0.54,0.77,5488.12万,2.35亿,2.81,1.4779,437.10亿,437.10亿,1000740026,False
