序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,总市值(元) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
36,601211,国泰海通,SH,17.13,0.47,3019.83亿,10.86,0.080,17.42,17.08,0.93,1.12,1.26亿,21.68亿,2.71,0.9424,2312.02亿,1000304595,False
37,600309,万华化学,SH,90.10,1.15,2820.56亿,22.52,1.020,91.36,88.89,0.85,0.75,2674.74万,24.13亿,7.70,2.6043,2820.56亿,1000001894,False
38,300274,阳光电源,SZ,133.90,0.01,2776.03亿,20.62,0.010,135.88,132.92,4.09,0.73,6505.59万,87.24亿,5.16,5.9558,2129.03亿,1000008290,False
39,002714,牧原股份,SZ,46.44,0.85,2680.98亿,17.31,0.390,46.67,45.80,0.92,0.73,3499.34万,16.20亿,4.33,3.4967,1764.81亿,1000010623,False
40,600930,华电新能,SH,6.03,0.00,2515.37亿,34.63,0.000,6.05,6.01,2.79,0.73,9002.30万,5.42亿,8.16,1.8537,194.76亿,1003137297,False
41,600150,中国船舶,SH,32.72,0.03,2462.38亿,36.48,0.010,33.18,32.63,0.73,0.99,5459.39万,17.91亿,10.52,1.7447,2462.38亿,1000001885,False
42,601225,陕西煤业,SH,24.99,-0.68,2422.78亿,14.64,-0.170,25.32,24.90,0.33,1.11,3229.85万,8.10亿,4.76,2.5041,2422.78亿,1000013250,False
43,601816,京沪高铁,SH,4.93,-0.20,2412.04亿,18.48,-0.010,4.97,4.91,0.22,0.98,1.08亿,5.34亿,5.85,1.1798,2412.04亿,1002023783,False
44,000338,潍柴动力,SZ,27.40,3.01,2387.20亿,21.84,0.800,27.57,26.38,2.40,0.96,1.20亿,32.41亿,5.46,2.5616,1370.96亿,1000010157,False
45,603288,海天味业,SH,40.74,-0.44,2384.03亿,33.87,-0.180,41.40,40.50,0.21,0.85,1168.15万,4.78亿,8.47,6.0240,2265.39亿,1000012439,False
46,601919,中远海控,SH,14.92,-1.06,2284.65亿,7.40,-0.160,15.12,14.87,0.65,1.28,8205.82万,12.27亿,1.85,0.9836,1873.39亿,1000008452,False
47,003816,中国广核,SZ,4.42,-0.67,2232.05亿,22.86,-0.030,4.46,4.39,0.31,0.78,1.21亿,5.33亿,5.71,1.8127,1738.61亿,1001429366,False
48,601898,中煤能源,SH,16.74,-1.12,2219.50亿,12.41,-0.190,16.97,16.62,0.34,0.73,3097.63万,5.19亿,3.10,1.3860,1532.04亿,1000007290,False
