序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,归属母公司股东的净利润(元) 2024.12.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,净利润(元) 2024.12.31,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
151,002852,道道全,SZ,9.92,1.54,14.61,32.02|2025年报,-,2.34亿|2025年报,2.16亿|2025三季报,1.81亿|2025半年报,1.03亿|2025一季报,1.77亿|2024年报,-,2.42亿|2025年报,2.23亿|2025三季报,1.86亿|2025半年报,1.07亿|2025一季报,1.79亿|2024年报,0.150,9.95,9.70,1.60,1.08,458.68万,4515.93万,3.65,1.5480,34.12亿,28.35亿,1000460211,False
152,000157,中联重科,SZ,8.20,-5.53,14.60,38.01|2025年报,-,48.58亿|2025年报,39.20亿|2025三季报,27.65亿|2025半年报,14.10亿|2025一季报,35.20亿|2024年报,-,51.07亿|2025年报,41.05亿|2025三季报,29.00亿|2025半年报,15.16亿|2025一季报,40.09亿|2024年报,-0.480,8.69,8.06,3.81,4.37,2.70亿,22.18亿,3.65,1.2319,709.18亿,579.71亿,1000001930,False
153,600066,宇通客车,SH,36.45,0.00,14.53,34.94|2025年报,-,55.54亿|2025年报,32.92亿|2025三季报,19.36亿|2025半年报,7.55亿|2025一季报,41.16亿|2024年报,-,56.25亿|2025年报,33.64亿|2025三季报,19.73亿|2025半年报,7.73亿|2025一季报,41.54亿|2024年报,0.000,36.84,36.20,0.73,0.81,1612.78万,5.88亿,3.63,5.1723,806.98亿,806.98亿,1000001694,False
154,000933,神火股份,SZ,35.41,4.89,14.25,223.28|2026一季报,22.90亿|2026一季报,40.05亿|2025年报,34.90亿|2025三季报,19.04亿|2025半年报,7.08亿|2025一季报,-,28.75亿|2026一季报,45.63亿|2025年报,42.26亿|2025三季报,22.50亿|2025半年报,7.84亿|2025一季报,-,1.650,35.47,34.61,2.28,1.07,5116.28万,17.95亿,8.70,2.9611,796.37亿,795.81亿,1000001335,False
155,600958,东方证券,SH,9.28,0.00,14.00,68.16|2025年报,-,56.34亿|2025年报,51.10亿|2025三季报,34.63亿|2025半年报,14.36亿|2025一季报,33.50亿|2024年报,-,56.34亿|2025年报,51.10亿|2025三季报,34.63亿|2025半年报,14.36亿|2025一季报,33.50亿|2024年报,0.000,9.37,9.27,0.68,0.96,5075.92万,4.72亿,3.50,0.9895,788.49亿,693.17亿,1000304609,False
156,600909,华安证券,SH,5.75,0.52,13.70,41.92|2025年报,-,21.08亿|2025年报,18.83亿|2025三季报,10.35亿|2025半年报,5.25亿|2025一季报,14.86亿|2024年报,-,21.11亿|2025年报,18.90亿|2025三季报,10.35亿|2025半年报,5.24亿|2025一季报,14.89亿|2024年报,0.030,5.80,5.72,1.06,0.98,5323.48万,3.06亿,3.43,1.1292,288.89亿,288.89亿,1000304178,False
157,600061,国投资本,SH,6.96,-0.14,13.57,21.71|2025年报,-,32.79亿|2025年报,28.53亿|2025三季报,17.00亿|2025半年报,6.80亿|2025一季报,26.94亿|2024年报,-,36.28亿|2025年报,32.05亿|2025三季报,18.93亿|2025半年报,7.97亿|2025一季报,31.98亿|2024年报,-0.010,7.01,6.93,0.46,0.95,2942.00万,2.05亿,3.39,0.8213,445.02亿,445.02亿,1000002508,False
158,000932,华菱钢铁,SZ,5.10,1.39,13.39,28.49|2025年报,-,26.11亿|2025年报,25.10亿|2025三季报,17.48亿|2025半年报,5.62亿|2025一季报,20.32亿|2024年报,-,38.70亿|2025年报,33.64亿|2025三季报,23.10亿|2025半年报,8.32亿|2025一季报,32.00亿|2024年报,0.070,5.14,5.03,0.96,0.99,6586.62万,3.36亿,3.35,0.6275,349.48亿,349.48亿,1000001234,False
159,300926,博俊科技,SZ,25.89,1.45,13.32,37.68|2025年报,-,8.44亿|2025年报,6.27亿|2025三季报,3.52亿|2025半年报,1.49亿|2025一季报,6.13亿|2024年报,-,8.44亿|2025年报,6.27亿|2025三季报,3.52亿|2025半年报,1.49亿|2025一季报,6.13亿|2024年报,0.370,26.12,25.43,1.85,0.97,552.72万,1.42亿,3.33,3.2234,112.45亿,77.15亿,1001898962,False
160,000028,国药一致,SZ,26.51,0.23,12.99,76.80|2025年报,-,11.36亿|2025年报,9.57亿|2025三季报,6.66亿|2025半年报,3.28亿|2025一季报,6.42亿|2024年报,-,11.28亿|2025年报,10.19亿|2025三季报,7.13亿|2025半年报,3.48亿|2025一季报,2.37亿|2024年报,0.060,26.79,26.30,1.37,1.02,655.94万,1.74亿,3.25,0.7928,147.55亿,126.73亿,1000000205,False
