序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
152,688161,威高骨科,SH,30.63,-1.83,45.61,-0.570,31.19,30.36,0.56,0.90,224.86万,6884.10万,11.40,2.9562,122.52亿,122.52亿,1002270460,False
153,920270,天铭科技,BJ,15.72,-0.25,45.60,-0.040,15.94,15.59,0.88,0.79,71.15万,1116.88万,11.40,4.0204,16.45亿,12.75亿,1000596026,False
154,002981,朝阳科技,SZ,24.46,1.12,45.59,0.270,24.56,24.03,1.46,0.71,174.46万,4251.36万,11.40,3.1517,33.63亿,29.21亿,1000983349,False
155,002093,国脉科技,SZ,9.79,1.35,45.57,0.130,9.83,9.67,1.01,1.28,1019.60万,9944.75万,12.58,2.5701,98.63亿,98.63亿,1000006065,False
156,600116,三峡水利,SH,6.59,0.46,45.49,0.030,6.61,6.54,0.60,0.84,1148.96万,7558.09万,8.99,1.1217,126.01亿,126.01亿,1000002377,False
157,605056,咸亨国际,SH,28.25,0.57,45.47,0.160,28.60,27.70,1.99,0.45,804.02万,2.26亿,22.55,7.0263,115.65亿,113.96亿,1002250059,False
158,920339,恒太照明,BJ,8.22,-0.24,45.45,-0.020,8.26,8.17,0.47,1.02,71.36万,586.36万,11.10,2.9905,18.10亿,12.43亿,1001842768,False
159,301429,森泰股份,SZ,19.90,3.16,45.44,0.610,19.95,19.14,2.73,0.82,120.39万,2358.41万,13.57,1.7482,23.53亿,8.76亿,1002385891,False
160,603006,联明股份,SH,13.21,2.80,45.42,0.360,13.25,12.86,0.89,0.98,226.46万,2959.41万,14.37,2.5758,33.59亿,33.59亿,1000011537,False
161,603320,迪贝电气,SH,22.81,0.31,45.35,0.070,23.30,22.42,3.62,1.25,539.99万,1.23亿,13.08,2.9213,34.02亿,34.02亿,1000305970,False
162,000798,中水渔业,SZ,10.38,0.58,45.34,0.060,10.40,10.20,2.22,1.01,813.36万,8400.19万,11.34,8.7686,37.98亿,37.97亿,1000000850,False
163,002560,通达股份,SZ,13.91,-0.93,45.31,-0.130,14.19,13.00,29.12,0.88,1.32亿,18.14亿,11.33,2.6884,73.13亿,63.00亿,1000007307,False
164,301656,联合动力,SZ,21.77,0.23,45.30,0.050,21.81,21.66,2.65,0.76,540.15万,1.17亿,49.58,5.6622,523.52亿,44.33亿,1003811611,False
165,603040,新坐标,SH,86.02,6.98,45.29,5.610,87.18,80.76,2.08,1.88,282.94万,2.37亿,14.02,8.2607,117.38亿,116.77亿,1000402185,False
166,002913,奥士康,SZ,50.92,0.00,45.28,0.000,51.10,50.00,2.40,0.88,725.14万,3.67亿,14.30,3.6618,161.60亿,153.62亿,1000798971,False
167,001388,信通电子,SZ,39.92,1.19,45.24,0.470,39.95,39.03,4.11,1.43,128.10万,5067.60万,22.06,4.4676,62.28亿,12.46亿,1002797088,False
168,688196,卓越新能,SH,60.50,-1.00,45.23,-0.610,61.50,59.03,1.49,0.74,178.86万,1.07亿,11.49,2.4085,76.95亿,72.60亿,1000326754,False
169,300775,三角防务,SZ,37.72,-0.16,45.23,-0.060,37.90,36.98,4.18,0.97,2223.03万,8.33亿,13.75,3.5303,206.54亿,200.53亿,1001042692,False
170,301555,惠柏新材,SZ,36.13,1.32,45.21,0.470,36.16,35.20,4.11,0.93,198.68万,7122.91万,13.81,3.0232,33.34亿,17.47亿,1002675658,False
171,301585,蓝宇股份,SZ,28.60,2.29,45.14,0.640,28.66,27.74,1.59,1.98,108.48万,3066.22万,15.66,3.0816,29.74亿,19.48亿,1003258428,False
172,603829,洛凯股份,SH,27.53,-0.65,45.13,-0.180,27.80,27.00,2.74,0.86,509.75万,1.39亿,17.95,3.4196,51.28亿,51.28亿,1000740041,False
173,600833,第一医药,SH,11.68,0.60,45.12,0.070,11.70,11.39,1.71,0.77,381.71万,4411.90万,11.28,2.2438,26.06亿,26.06亿,1000002035,False
